rank,customer_id,log_score,matched_facts,total_facts,coverage,exact_rating_matches,exact_rating_rate,mean_abs_error,rmse_to_imdb_profile
1,1204108,-47.916666666666664,37,84,0.44047619047619047,27,0.7297297297297297,0.5,0.6205925677408126
2,639178,-48.27777777777778,30,84,0.35714285714285715,25,0.8333333333333334,0.35,0.5400617248673217
3,656290,-49.05555555555556,42,84,0.5,29,0.6904761904761905,0.4880952380952381,0.6857390868530795
4,2616713,-49.08333333333333,39,84,0.4642857142857143,29,0.7435897435897436,0.47435897435897434,0.6650621717611762
5,114474,-49.611111111111114,22,84,0.2619047619047619,21,0.9545454545454546,0.2727272727272727,0.3988620176087328
6,211284,-49.66666666666667,32,84,0.38095238095238093,25,0.78125,0.40625,0.6123724356957945
7,1139629,-49.77777777777777,44,84,0.5238095238095238,31,0.7045454545454546,0.5340909090909091,0.7111130839619099
8,1711526,-50.05555555555556,46,84,0.5476190476190477,30,0.6521739130434783,0.5760869565217391,0.7260674300941189
9,856091,-50.19444444444444,31,84,0.36904761904761907,23,0.7419354838709677,0.43548387096774194,0.6156559575481392
10,2299084,-50.47222222222221,65,84,0.7738095238095238,45,0.6923076923076923,0.5769230769230769,0.7917847415321142
11,1171023,-50.52777777777777,43,84,0.5119047619047619,31,0.7209302325581395,0.5,0.7193343175916997
12,1807626,-50.55555555555554,40,84,0.47619047619047616,28,0.7,0.5375,0.7026734661277598
13,1042661,-50.72222222222222,30,84,0.35714285714285715,25,0.8333333333333334,0.43333333333333335,0.6191391873668903
14,2548769,-50.72222222222222,22,84,0.2619047619047619,19,0.8636363636363636,0.29545454545454547,0.4646601886422926
15,952533,-50.91666666666666,41,84,0.4880952380952381,31,0.7560975609756098,0.5365853658536586,0.7156780854205468
16,156274,-51.27777777777777,34,84,0.40476190476190477,23,0.6764705882352942,0.5294117647058824,0.6751906048969998
17,1248505,-51.36111111111111,41,84,0.4880952380952381,32,0.7804878048780488,0.4634146341463415,0.7241479433806597
18,1782321,-51.36111111111111,41,84,0.4880952380952381,26,0.6341463414634146,0.5853658536585366,0.7241479433806597
19,585385,-51.388888888888886,38,84,0.4523809523809524,26,0.6842105263157895,0.5263157894736842,0.7071067811865476
20,1395391,-51.388888888888886,22,84,0.2619047619047619,18,0.8181818181818182,0.3181818181818182,0.5
21,1273244,-51.416666666666664,35,84,0.4166666666666667,25,0.7142857142857143,0.4857142857142857,0.6866065623255951
22,2388822,-51.416666666666664,27,84,0.32142857142857145,20,0.7407407407407407,0.46296296296296297,0.6009252125773316
23,807670,-51.5,42,84,0.5,31,0.7380952380952381,0.5476190476190477,0.7319250547113999
24,2023265,-51.52777777777777,39,84,0.4642857142857143,27,0.6923076923076923,0.5641025641025641,0.7161148740394329
25,404998,-51.52777777777777,39,84,0.4642857142857143,27,0.6923076923076923,0.5128205128205128,0.7161148740394329
26,193179,-51.52777777777778,23,84,0.27380952380952384,20,0.8695652173913043,0.34782608695652173,0.531609533071195
27,386974,-51.55555555555556,28,84,0.3333333333333333,23,0.8214285714285714,0.44642857142857145,0.6196196990320526
28,1168494,-51.66666666666666,48,84,0.5714285714285714,29,0.6041666666666666,0.59375,0.7603453162872774
29,1659398,-51.6944444444444,77,84,0.9166666666666666,50,0.6493506493506493,0.6298701298701299,0.823754471047914
30,260569,-51.75,23,84,0.27380952380952384,19,0.8260869565217391,0.41304347826086957,0.5417363388859614
31,733061,-51.99999999999999,44,84,0.5238095238095238,29,0.6590909090909091,0.6022727272727273,0.75
32,974821,-52.05555555555556,38,84,0.4523809523809524,27,0.7105263157894737,0.5131578947368421,0.7209277648317224
33,849362,-52.08333333333333,43,84,0.5119047619047619,32,0.7441860465116279,0.4883720930232558,0.7470873676376284
34,451681,-52.1111111111111,40,84,0.47619047619047616,28,0.7,0.575,0.733143914930759
35,1048188,-52.138888888888886,45,84,0.5357142857142857,29,0.6444444444444445,0.5888888888888889,0.7564537145273478
36,277250,-52.16666666666666,42,84,0.5,28,0.6666666666666666,0.5833333333333334,0.7440238091428449
37,910870,-52.19444444444444,47,84,0.5595238095238095,33,0.7021276595744681,0.5531914893617021,0.7649224686062787
38,263357,-52.19444444444444,23,84,0.27380952380952384,19,0.8260869565217391,0.3695652173913043,0.5614422421802155
39,775936,-52.19444444444444,23,84,0.27380952380952384,18,0.782608695652174,0.41304347826086957,0.5614422421802155
40,2018505,-52.27777777777778,22,84,0.2619047619047619,19,0.8636363636363636,0.36363636363636365,0.543557306504609
41,1817460,-52.27777777777778,22,84,0.2619047619047619,18,0.8181818181818182,0.3181818181818182,0.543557306504609
42,2365400,-52.361111111111114,21,84,0.25,18,0.8571428571428571,0.40476190476190477,0.5232681184722836
43,315380,-52.41666666666666,39,84,0.4642857142857143,27,0.6923076923076923,0.5897435897435898,0.7337993857053428
44,2359154,-52.44444444444444,20,84,0.23809523809523808,17,0.85,0.35,0.5
45,552997,-52.472222222222214,49,84,0.5833333333333334,33,0.673469387755102,0.5714285714285714,0.7759128922285868
46,2405337,-52.472222222222214,41,84,0.4880952380952381,28,0.6829268292682927,0.573170731707317,0.7449013684914855
47,1640067,-52.55555555555552,72,84,0.8571428571428571,45,0.625,0.6388888888888888,0.8249579113843054
48,685917,-52.55555555555556,16,84,0.19047619047619047,16,1.0,0.21875,0.33071891388307384
49,428461,-52.58333333333332,53,84,0.6309523809523809,36,0.6792452830188679,0.6037735849056604,0.7890763647670371
50,1562924,-52.58333333333333,37,84,0.44047619047619047,30,0.8108108108108109,0.4594594594594595,0.7259662712736915
